1,1,1,1,1,999,1,2,1,1,1,1,1,1,999,1,1,2,1,1,1,1,1,999,1,1,1,1,1,1,1,1,999,1,2,1
2,5,1,999,8,3,2,4,999,1,6,9,999,2,6,7,5,999,3,2,3,999,6,4,4,2,999,2,2,4,999,7,5,6,5,999
3,1,1,1,1,1,999,1,1,3,1,1,1,1,1,999,1,2,1,5,1,1,1,1,999,1,1,3,1,1,1,1,1,999,1,1
1,1,1,1,1,2,6,1,1,4,1,1,4,4,7,7,1,1,1,1,1,4,1,1,1,1,1,5,5,3,5,4,5,1,1,2
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,1,2,1,1,1,1,1,1,4,2,5,3,6,8,6,7,1,1,1,6,7,1,3,1,2,1,4,4,3,5,3,1,4,2,1
2,1,1,1,1,1,1,1,1,2,1,1,2,1,1,1,1,1,4,1,1,1,1,1,1,1,2,4,1,1,1,1,1,1,1,1
1,3,1,1,1,1,1,1,999,2,2,1,1,1,1,1,1,999,2,1,1,1,1,1,1,1,999,1,2,5,2,2,1,1,1,999
3,1,1,2,999,999,999,999,3,3,1,1,1,999,999,999,999,1,2,2,1,1,999,999,999,999,2,3,1,1,1,999,999,999,999,2
2,999,6,1,999,1,1,1,2,2,999,7,1,999,1,1,1,1,1,999,1,1,999,1,1,1,1,2,999,3,2,999,1,1,1,1
3,3,1,8,2,6,1,7,4,3,3,9,8,4,8,3,6,2,2,2,2,1,1,2,3,1,4,2,1,1,4,5,6,3,7,3
2,2,2,1,1,1,2,2,4,2,2,4,3,5,2,2,2,4,2,2,2,1,1,1,2,2,3,3,2,2,2,5,1,2,2,4
1,1,3,3,1,1,1,1,1,1,1,1,4,1,1,1,1,1,3,1,6,3,1,1,1,1,1,2,2,4,4,1,1,1,1,1
2,4,4,4,5,999,5,999,999,1,7,3,9,7,999,7,999,999,1,7,5,4,7,999,8,999,999,5,6,8,9,9,999,5,999,999
