101,1,1,1,1,1
101,2,1,1,1,1
101,3,1,1,1,1
101,4,1,1,1,1
101,5,1,1,1,1
101,6,999,999,999,999
101,7,1,1,1,1
101,8,2,1,1,2
101,9,1,2,1,1
102,1,2,1,3,2
102,2,5,6,2,2
102,3,1,9,3,4
102,4,999,999,999,999
102,5,8,2,6,7
102,6,3,6,4,5
102,7,2,7,4,6
102,8,4,5,2,5
102,9,999,999,999,999
103,1,3,3,1,3
103,2,1,1,5,1
103,3,1,1,1,1
103,4,1,1,1,1
103,5,1,1,1,1
103,6,1,1,1,1
103,7,999,999,999,999
103,8,1,1,1,1
103,9,1,2,1,1
104,1,1,4,1,5
104,2,1,1,1,5
104,3,1,1,1,3
104,4,1,4,4,5
104,5,1,4,1,4
104,6,2,7,1,5
104,7,6,7,1,1
104,8,1,1,1,1
104,9,1,1,1,2
106,1,1,1,1,1
106,2,1,1,1,1
106,3,1,1,1,1
106,4,1,1,1,1
106,5,1,1,1,1
106,6,1,1,1,1
106,7,1,1,1,1
106,8,1,1,1,1
106,9,1,1,1,1
107,1,1,4,1,4
107,2,1,2,1,4
107,3,2,5,6,3
107,4,1,3,7,5
107,5,1,6,1,3
107,6,1,8,3,1
107,7,1,6,1,4
107,8,1,7,2,2
107,9,1,1,1,1
108,1,2,2,4,4
108,2,1,1,1,1
108,3,1,1,1,1
108,4,1,2,1,1
108,5,1,1,1,1
108,6,1,1,1,1
108,7,1,1,1,1
108,8,1,1,1,1
108,9,1,1,2,1
109,1,1,2,2,1
109,2,3,2,1,2
109,3,1,1,1,5
109,4,1,1,1,2
109,5,1,1,1,2
109,6,1,1,1,1
109,7,1,1,1,1
109,8,1,1,1,1
109,9,999,999,999,999
110,1,3,3,2,3
110,2,1,1,2,1
110,3,1,1,1,1
110,4,2,1,1,1
110,5,999,999,999,999
110,6,999,999,999,999
110,7,999,999,999,999
110,8,999,999,999,999
110,9,3,1,2,2
111,1,2,2,1,2
111,2,999,999,999,999
111,3,6,7,1,3
111,4,1,1,1,2
111,5,999,999,999,999
111,6,1,1,1,1
111,7,1,1,1,1
111,8,1,1,1,1
111,9,2,1,1,1
112,1,3,3,2,2
112,2,3,3,2,1
112,3,1,9,2,1
112,4,8,8,1,4
112,5,2,4,1,5
112,6,6,8,2,6
112,7,1,3,3,3
112,8,7,6,1,7
112,9,4,2,4,3
113,1,2,2,2,3
113,2,2,2,2,2
113,3,2,4,2,2
113,4,1,3,1,2
113,5,1,5,1,5
113,6,1,2,1,1
113,7,2,2,2,2
113,8,2,2,2,2
113,9,4,4,3,4
114,1,1,1,3,2
114,2,1,1,1,2
114,3,3,1,6,4
114,4,3,4,3,4
114,5,1,1,1,1
114,6,1,1,1,1
114,7,1,1,1,1
114,8,1,1,1,1
114,9,1,1,1,1
115,1,2,1,1,5
115,2,4,7,7,6
115,3,4,3,5,8
115,4,4,9,4,9
115,5,5,7,7,9
115,6,999,999,999,999
115,7,5,7,8,5
115,8,999,999,999,999
115,9,999,999,999,999
116,1,1,1,1,1
116,2,1,1,1,1
116,3,999,999,999,999
116,4,999,999,999,999
116,5,1,1,1,1
116,6,1,1,1,2
116,7,999,999,999,999
116,8,999,999,999,999
116,9,1,1,1,3
117,1,5,5,8,5
117,2,3,2,3,3
117,3,4,4,4,5
117,4,4,4,3,5
117,5,2,5,2,2
117,6,999,999,999,999
117,7,2,1,1,3
117,8,1,1,1,2
117,9,4,1,2,3
118,1,2,2,1,1
118,2,1,1,1,1
118,3,1,1,1,1
118,4,1,1,1,1
118,5,1,1,1,1
118,6,1,1,1,1
118,7,1,1,1,1
118,8,1,2,1,1
118,9,1,1,1,1
119,1,1,1,3,1
119,2,1,1,2,2
119,3,1,1,1,1
119,4,1,1,1,1
119,5,1,1,3,6
119,6,1,2,1,4
119,7,999,999,999,999
119,8,1,1,2,5
119,9,4,2,5,5
120,1,2,4,4,4
120,2,2,5,1,6
120,3,2,2,2,4
120,4,2,4,2,3
120,5,2,2,2,4
120,6,3,4,2,2
120,7,2,3,2,4
120,8,2,2,2,4
120,9,2,3,2,4
121,1,7,9,5,7
121,2,999,999,999,999
121,3,5,5,7,3
121,4,999,999,999,999
121,5,5,6,5,1
121,6,7,6,1,1
121,7,1,1,1,1
121,8,2,1,6,1
121,9,999,999,999,999
122,1,1,1,1,1
122,2,1,5,1,1
122,3,1,1,1,1
122,4,1,1,1,1
122,5,999,999,999,999
122,6,5,6,1,1
122,7,1,1,1,1
122,8,1,4,1,2
122,9,1,1,1,1
123,1,999,999,999,999
123,2,1,1,1,1
123,3,7,7,1,5
123,4,999,999,999,999
123,5,1,6,1,1
123,6,1,1,1,1
123,7,999,999,999,999
123,8,1,1,1,1
123,9,999,999,999,999
124,1,1,1,1,1
124,2,1,1,1,1
124,3,999,999,999,999
124,4,1,1,1,1
124,5,999,999,999,999
124,6,1,1,1,1
124,7,999,999,999,999
124,8,1,1,1,1
124,9,999,999,999,999
126,1,1,1,1,1
126,2,1,1,1,1
126,3,1,1,1,1
126,4,999,999,999,999
126,5,1,1,1,1
126,6,1,1,1,1
126,7,1,1,1,1
126,8,1,1,1,1
126,9,1,1,1,1
127,1,999,999,999,999
127,2,1,1,1,1
127,3,1,1,1,1
127,4,1,1,1,4
127,5,1,1,1,6
127,6,1,1,1,1
127,7,999,999,999,999
127,8,999,999,999,999
127,9,1,1,1,1
128,1,2,3,4,3
128,2,999,999,999,999
128,3,2,1,1,1
128,4,999,999,999,999
128,5,1,5,1,1
128,6,1,2,2,2
128,7,2,1,3,4
128,8,999,999,999,999
128,9,999,999,999,999
130,1,1,1,1,1
130,2,1,1,1,6
130,3,1,2,1,7
130,4,1,1,1,3
130,5,1,1,1,5
130,6,1,1,1,4
130,7,1,1,4,3
130,8,1,1,1,2
130,9,999,999,999,999
131,1,2,2,1,2
131,2,1,1,1,3
131,3,2,2,2,2
131,4,4,4,2,2
131,5,3,5,2,3
131,6,2,3,2,4
131,7,3,3,4,3
131,8,5,4,4,3
131,9,2,4,2,2
132,1,6,1,3,1
132,2,2,2,2,2
132,3,1,1,2,3
132,4,2,6,3,5
132,5,5,4,5,6
132,6,6,3,3,3
132,7,4,2,3,4
132,8,3,3,4,3
132,9,3,4,4,4
133,1,1,1,3,3
133,2,1,1,3,2
133,3,999,999,999,999
133,4,1,1,1,2
133,5,1,1,3,3
133,6,1,1,4,4
133,7,1,1,3,4
133,8,1,1,3,5
133,9,2,1,4,3
134,1,1,1,1,1
134,2,1,1,1,1
134,3,1,1,2,1
134,4,1,1,1,1
134,5,2,1,1,1
134,6,1,1,1,1
134,7,1,1,1,1
134,8,1,1,1,1
134,9,1,1,3,1
135,1,999,999,999,999
135,2,1,1,1,1
135,3,6,4,1,1
135,4,1,1,1,1
135,5,1,4,1,1
135,6,1,1,1,1
135,7,999,999,999,999
135,8,2,2,2,2
135,9,1,1,1,1
136,1,1,4,2,2
136,2,2,5,2,3
136,3,1,1,1,1
136,4,1,2,1,1
136,5,1,2,1,1
136,6,2,2,3,1
136,7,1,1,1,1
136,8,1,1,2,1
136,9,1,2,1,1
137,1,1,1,2,3
137,2,1,1,1,1
137,3,1,1,1,1
137,4,1,5,1,1
137,5,999,999,999,999
